phrase,model,latency_ms,status,output_file
kancharlas ac,Sarvam,1271.25,Success,../outputs/propernouns/sarvam/proper_22.wav
kandoth first floor,ElevenLabs,1340.71,Success,../outputs/propernouns/elevenlabs/proper_23.mp3
kandoth first floor,Sarvam,1155.56,Success,../outputs/propernouns/sarvam/proper_23.wav
kanha ji back light,ElevenLabs,1384.07,Success,../outputs/propernouns/elevenlabs/proper_24.mp3
kanha ji back light,Sarvam,1002.86,Success,../outputs/propernouns/sarvam/proper_24.wav
kanha ji focus,ElevenLabs,1427.3,Success,../outputs/propernouns/elevenlabs/proper_25.mp3
kanha ji focus,Sarvam,998.85,Success,../outputs/propernouns/sarvam/proper_25.wav
kanha kittu,ElevenLabs,989.02,Success,../outputs/propernouns/elevenlabs/proper_26.mp3
kanha kittu,Sarvam,851.17,Success,../outputs/propernouns/sarvam/proper_26.wav
kanhaiya ji smartac,ElevenLabs,1396.64,Success,../outputs/propernouns/elevenlabs/proper_27.mp3
kanhaiya ji smartac,Sarvam,1300.42,Success,../outputs/propernouns/sarvam/proper_27.wav
kankugachi stellar,ElevenLabs,1157.51,Success,../outputs/propernouns/elevenlabs/proper_28.mp3
kankugachi stellar,Sarvam,1112.21,Success,../outputs/propernouns/sarvam/proper_28.wav
kanna,ElevenLabs,1303.29,Success,../outputs/propernouns/elevenlabs/proper_29.mp3
kanna,Sarvam,682.71,Success,../outputs/propernouns/sarvam/proper_29.wav
kannaiah,ElevenLabs,1320.62,Success,../outputs/propernouns/elevenlabs/proper_30.mp3
kannaiah,Sarvam,698.38,Success,../outputs/propernouns/sarvam/proper_30.wav
kannimoola,ElevenLabs,1446.36,Success,../outputs/propernouns/elevenlabs/proper_31.mp3
kannimoola,Sarvam,810.9,Success,../outputs/propernouns/sarvam/proper_31.wav
kannu,ElevenLabs,1155.65,Success,../outputs/propernouns/elevenlabs/proper_32.mp3
kannu,Sarvam,646.16,Success,../outputs/propernouns/sarvam/proper_32.wav
kannupriya cabin,ElevenLabs,1432.36,Success,../outputs/propernouns/elevenlabs/proper_33.mp3
kannupriya cabin,Sarvam,890.53,Success,../outputs/propernouns/sarvam/proper_33.wav
kanu ac,ElevenLabs,1205.13,Success,../outputs/propernouns/elevenlabs/proper_34.mp3
kanu ac,Sarvam,665.59,Success,../outputs/propernouns/sarvam/proper_34.wav
kapat bottom led,ElevenLabs,1235.1,Success,../outputs/propernouns/elevenlabs/proper_35.mp3
kapat bottom led,Sarvam,965.88,Success,../outputs/propernouns/sarvam/proper_35.wav
kapil room geyser,ElevenLabs,1325.93,Success,../outputs/propernouns/elevenlabs/proper_36.mp3
kapil room geyser,Sarvam,1055.47,Success,../outputs/propernouns/sarvam/proper_36.wav
karan,ElevenLabs,1382.19,Success,../outputs/propernouns/elevenlabs/proper_37.mp3
karan,Sarvam,830.89,Success,../outputs/propernouns/sarvam/proper_37.wav
karan ac,ElevenLabs,942.15,Success,../outputs/propernouns/elevenlabs/proper_38.mp3
karan ac,Sarvam,678.29,Success,../outputs/propernouns/sarvam/proper_38.wav
karan ac,ElevenLabs,2053.09,Success,../outputs/propernouns/elevenlabs/proper_39.mp3
karan ac,Sarvam,1061.14,Success,../outputs/propernouns/sarvam/proper_39.wav
karan ananya room,ElevenLabs,1536.4,Success,../outputs/propernouns/elevenlabs/proper_40.mp3
karan ananya room,Sarvam,962.97,Success,../outputs/propernouns/sarvam/proper_40.wav
karan keshwala,ElevenLabs,1292.03,Success,../outputs/propernouns/elevenlabs/proper_41.mp3
karan keshwala,Sarvam,1043.2,Success,../outputs/propernouns/sarvam/proper_41.wav
karan novante,ElevenLabs,1227.92,Success,../outputs/propernouns/elevenlabs/proper_42.mp3
karan novante,Sarvam,982.26,Success,../outputs/propernouns/sarvam/proper_42.wav
karan ac,ElevenLabs,1773.62,Success,../outputs/propernouns/elevenlabs/proper_43.mp3
karan ac,Sarvam,1261.55,Success,../outputs/propernouns/sarvam/proper_43.wav
karan ka purifier,ElevenLabs,1420.14,Success,../outputs/propernouns/elevenlabs/proper_44.mp3
karan ka purifier,Sarvam,1059.37,Success,../outputs/propernouns/sarvam/proper_44.wav
karimnagar bajaj,ElevenLabs,1361.97,Success,../outputs/propernouns/elevenlabs/proper_45.mp3
karimnagar bajaj,Sarvam,1295.44,Success,../outputs/propernouns/sarvam/proper_45.wav
karjol,ElevenLabs,1274.1,Success,../outputs/propernouns/elevenlabs/proper_46.mp3
karjol,Sarvam,1326.5,Success,../outputs/propernouns/sarvam/proper_46.wav
karnika fan,ElevenLabs,1306.58,Success,../outputs/propernouns/elevenlabs/proper_47.mp3
karnika fan,Sarvam,839.1,Success,../outputs/propernouns/sarvam/proper_47.wav
karthi,ElevenLabs,1119.88,Success,../outputs/propernouns/elevenlabs/proper_48.mp3
karthi,Sarvam,899.68,Success,../outputs/propernouns/sarvam/proper_48.wav
karthik,ElevenLabs,1242.77,Success,../outputs/propernouns/elevenlabs/proper_49.mp3
karthik,Sarvam,618.54,Success,../outputs/propernouns/sarvam/proper_49.wav
karthik ac,ElevenLabs,1397.11,Success,../outputs/propernouns/elevenlabs/proper_50.mp3
karthik ac,Sarvam,1232.47,Success,../outputs/propernouns/sarvam/proper_50.wav
karthik fan,ElevenLabs,1187.88,Success,../outputs/propernouns/elevenlabs/proper_51.mp3
karthik fan,Sarvam,745.22,Success,../outputs/propernouns/sarvam/proper_51.wav
karthik geyser,ElevenLabs,1294.55,Success,../outputs/propernouns/elevenlabs/proper_52.mp3
karthik geyser,Sarvam,1090.62,Success,../outputs/propernouns/sarvam/proper_52.wav
karthik hall,ElevenLabs,1146.11,Success,../outputs/propernouns/elevenlabs/proper_53.mp3
karthik hall,Sarvam,786.64,Success,../outputs/propernouns/sarvam/proper_53.wav
karthik lloyd,ElevenLabs,1201.01,Success,../outputs/propernouns/elevenlabs/proper_54.mp3
karthik lloyd,Sarvam,1134.44,Success,../outputs/propernouns/sarvam/proper_54.wav
karthik room ac,ElevenLabs,1311.06,Success,../outputs/propernouns/elevenlabs/proper_55.mp3
karthik room ac,Sarvam,1296.49,Success,../outputs/propernouns/sarvam/proper_55.wav
karthiks,ElevenLabs,958.98,Success,../outputs/propernouns/elevenlabs/proper_56.mp3
karthiks,Sarvam,1148.26,Success,../outputs/propernouns/sarvam/proper_56.wav
kartic fan,ElevenLabs,1138.61,Success,../outputs/propernouns/elevenlabs/proper_57.mp3
kartic fan,Sarvam,1437.73,Success,../outputs/propernouns/sarvam/proper_57.wav
kartic switch,ElevenLabs,1329.71,Success,../outputs/propernouns/elevenlabs/proper_58.mp3
kartic switch,Sarvam,823.3,Success,../outputs/propernouns/sarvam/proper_58.wav
kartik,ElevenLabs,1166.46,Success,../outputs/propernouns/elevenlabs/proper_59.mp3
kartik,Sarvam,818.84,Success,../outputs/propernouns/sarvam/proper_59.wav
kartikay,ElevenLabs,1111.15,Success,../outputs/propernouns/elevenlabs/proper_60.mp3
kartikay,Sarvam,880.98,Success,../outputs/propernouns/sarvam/proper_60.wav
kartikeya airpurifier,ElevenLabs,1408.78,Success,../outputs/propernouns/elevenlabs/proper_61.mp3
kartikeya airpurifier,Sarvam,1281.69,Success,../outputs/propernouns/sarvam/proper_61.wav
karun,ElevenLabs,1071.68,Success,../outputs/propernouns/elevenlabs/proper_62.mp3
karun,Sarvam,723.16,Success,../outputs/propernouns/sarvam/proper_62.wav
karunas ac,ElevenLabs,1258.73,Success,../outputs/propernouns/elevenlabs/proper_63.mp3
karunas ac,Sarvam,1040.82,Success,../outputs/propernouns/sarvam/proper_63.wav
kashi ac,ElevenLabs,1385.42,Success,../outputs/propernouns/elevenlabs/proper_64.mp3
kashi ac,Sarvam,850.53,Success,../outputs/propernouns/sarvam/proper_64.wav
kashif ac,ElevenLabs,1014.99,Success,../outputs/propernouns/elevenlabs/proper_65.mp3
kashif ac,Sarvam,1236.03,Success,../outputs/propernouns/sarvam/proper_65.wav
kashif ac,ElevenLabs,1379.48,Success,../outputs/propernouns/elevenlabs/proper_66.mp3
kashif ac,Sarvam,927.11,Success,../outputs/propernouns/sarvam/proper_66.wav
kashish geyser,ElevenLabs,1280.66,Success,../outputs/propernouns/elevenlabs/proper_67.mp3
kashish geyser,Sarvam,881.46,Success,../outputs/propernouns/sarvam/proper_67.wav
kashmir darbar,ElevenLabs,1167.11,Success,../outputs/propernouns/elevenlabs/proper_68.mp3
kashmir darbar,Sarvam,947.41,Success,../outputs/propernouns/sarvam/proper_68.wav
kashmir darbar counter,ElevenLabs,2881.86,Success,../outputs/propernouns/elevenlabs/proper_69.mp3
kashmir darbar counter,Sarvam,1800.42,Success,../outputs/propernouns/sarvam/proper_69.wav
kashmir darbar l typ,ElevenLabs,1459.74,Success,../outputs/propernouns/elevenlabs/proper_70.mp3
kashmir darbar l typ,Sarvam,1192.81,Success,../outputs/propernouns/sarvam/proper_70.wav
kashmir ki kali,ElevenLabs,1439.25,Success,../outputs/propernouns/elevenlabs/proper_71.mp3
kashmir ki kali,Sarvam,887.45,Success,../outputs/propernouns/sarvam/proper_71.wav
kashmir palace,ElevenLabs,1159.85,Success,../outputs/propernouns/elevenlabs/proper_72.mp3
kashmir palace,Sarvam,1057.7,Success,../outputs/propernouns/sarvam/proper_72.wav
kashvi,ElevenLabs,1084.02,Success,../outputs/propernouns/elevenlabs/proper_73.mp3
kashvi,Sarvam,885.76,Success,../outputs/propernouns/sarvam/proper_73.wav
kashvi switch,ElevenLabs,1200.21,Success,../outputs/propernouns/elevenlabs/proper_74.mp3
kashvi switch,Sarvam,1093.38,Success,../outputs/propernouns/sarvam/proper_74.wav
kasol time,ElevenLabs,1094.5,Success,../outputs/propernouns/elevenlabs/proper_75.mp3
kasol time,Sarvam,862.2,Success,../outputs/propernouns/sarvam/proper_75.wav
katara ac,ElevenLabs,1034.11,Success,../outputs/propernouns/elevenlabs/proper_76.mp3
katara ac,Sarvam,1105.37,Success,../outputs/propernouns/sarvam/proper_76.wav
katare dinesh kumar,ElevenLabs,1409.86,Success,../outputs/propernouns/elevenlabs/proper_77.mp3
katare dinesh kumar,Sarvam,987.65,Success,../outputs/propernouns/sarvam/proper_77.wav
kathalikandathil,ElevenLabs,1558.04,Success,../outputs/propernouns/elevenlabs/proper_78.mp3
kathalikandathil,Sarvam,1035.54,Success,../outputs/propernouns/sarvam/proper_78.wav
kattuac,ElevenLabs,1039.36,Success,../outputs/propernouns/elevenlabs/proper_79.mp3
kattuac,Sarvam,782.77,Success,../outputs/propernouns/sarvam/proper_79.wav
kauf,ElevenLabs,1360.24,Success,../outputs/propernouns/elevenlabs/proper_80.mp3
kauf,Sarvam,750.07,Success,../outputs/propernouns/sarvam/proper_80.wav
kaushik ac,ElevenLabs,1116.67,Success,../outputs/propernouns/elevenlabs/proper_81.mp3
kaushik ac,Sarvam,956.01,Success,../outputs/propernouns/sarvam/proper_81.wav
kaushik bedroom,ElevenLabs,1188.0,Success,../outputs/propernouns/elevenlabs/proper_82.mp3
kaushik bedroom,Sarvam,1065.74,Success,../outputs/propernouns/sarvam/proper_82.wav
kaushik bedroom soc,ElevenLabs,1513.33,Success,../outputs/propernouns/elevenlabs/proper_83.mp3
kaushik bedroom soc,Sarvam,942.69,Success,../outputs/propernouns/sarvam/proper_83.wav
kaustubh bd lloyd ac,ElevenLabs,1758.34,Success,../outputs/propernouns/elevenlabs/proper_84.mp3
kaustubh bd lloyd ac,Sarvam,1308.79,Success,../outputs/propernouns/sarvam/proper_84.wav
kavita,ElevenLabs,1020.68,Success,../outputs/propernouns/elevenlabs/proper_85.mp3
kavita,Sarvam,777.54,Success,../outputs/propernouns/sarvam/proper_85.wav
kavya ac,ElevenLabs,1286.45,Success,../outputs/propernouns/elevenlabs/proper_86.mp3
kavya ac,Sarvam,1301.49,Success,../outputs/propernouns/sarvam/proper_86.wav
kavya ac,ElevenLabs,1171.35,Success,../outputs/propernouns/elevenlabs/proper_87.mp3
kavya ac,Sarvam,1388.85,Success,../outputs/propernouns/sarvam/proper_87.wav
kavya ac,ElevenLabs,1189.72,Success,../outputs/propernouns/elevenlabs/proper_88.mp3
kavya ac,Sarvam,887.82,Success,../outputs/propernouns/sarvam/proper_88.wav
kavyansh,ElevenLabs,1355.93,Success,../outputs/propernouns/elevenlabs/proper_89.mp3
kavyansh,Sarvam,781.74,Success,../outputs/propernouns/sarvam/proper_89.wav
kavyansh purifier,ElevenLabs,1374.62,Success,../outputs/propernouns/elevenlabs/proper_90.mp3
kavyansh purifier,Sarvam,1044.95,Success,../outputs/propernouns/sarvam/proper_90.wav
kay k,ElevenLabs,949.53,Success,../outputs/propernouns/elevenlabs/proper_91.mp3
kay k,Sarvam,682.39,Success,../outputs/propernouns/sarvam/proper_91.wav
kayna,ElevenLabs,1180.33,Success,../outputs/propernouns/elevenlabs/proper_92.mp3
kayna,Sarvam,765.26,Success,../outputs/propernouns/sarvam/proper_92.wav
kayra room fan,ElevenLabs,1190.43,Success,../outputs/propernouns/elevenlabs/proper_93.mp3
kayra room fan,Sarvam,1178.47,Success,../outputs/propernouns/sarvam/proper_93.wav
kayu,ElevenLabs,1285.61,Success,../outputs/propernouns/elevenlabs/proper_94.mp3
kayu,Sarvam,812.3,Success,../outputs/propernouns/sarvam/proper_94.wav
kdm,ElevenLabs,1210.21,Success,../outputs/propernouns/elevenlabs/proper_95.mp3
kdm,Sarvam,806.51,Success,../outputs/propernouns/sarvam/proper_95.wav
kdraj,ElevenLabs,1461.57,Success,../outputs/propernouns/elevenlabs/proper_96.mp3
kdraj,Sarvam,1001.53,Success,../outputs/propernouns/sarvam/proper_96.wav
keerthana ac,ElevenLabs,1323.51,Success,../outputs/propernouns/elevenlabs/proper_97.mp3
keerthana ac,Sarvam,1379.07,Success,../outputs/propernouns/sarvam/proper_97.wav
keerthi,ElevenLabs,1061.1,Success,../outputs/propernouns/elevenlabs/proper_98.mp3
keerthi,Sarvam,730.31,Success,../outputs/propernouns/sarvam/proper_98.wav
keerthi traders,ElevenLabs,1389.63,Success,../outputs/propernouns/elevenlabs/proper_99.mp3
keerthi traders,Sarvam,1212.72,Success,../outputs/propernouns/sarvam/proper_99.wav
keesha,ElevenLabs,1112.95,Success,../outputs/propernouns/elevenlabs/proper_100.mp3
keesha,Sarvam,779.97,Success,../outputs/propernouns/sarvam/proper_100.wav
keka,ElevenLabs,1173.91,Success,../outputs/propernouns/elevenlabs/proper_101.mp3
keka,Sarvam,711.83,Success,../outputs/propernouns/sarvam/proper_101.wav
kelvin ac,ElevenLabs,1246.81,Success,../outputs/propernouns/elevenlabs/proper_102.mp3
kelvin ac,Sarvam,1223.97,Success,../outputs/propernouns/sarvam/proper_102.wav
kesha,ElevenLabs,1068.15,Success,../outputs/propernouns/elevenlabs/proper_103.mp3
kesha,Sarvam,889.46,Success,../outputs/propernouns/sarvam/proper_103.wav
keshank ac,ElevenLabs,1166.42,Success,../outputs/propernouns/elevenlabs/proper_104.mp3
keshank ac,Sarvam,1312.1,Success,../outputs/propernouns/sarvam/proper_104.wav
keshari,ElevenLabs,1321.35,Success,../outputs/propernouns/elevenlabs/proper_105.mp3
keshari,Sarvam,757.67,Success,../outputs/propernouns/sarvam/proper_105.wav
keshav,ElevenLabs,1150.64,Success,../outputs/propernouns/elevenlabs/proper_106.mp3
keshav,Sarvam,801.82,Success,../outputs/propernouns/sarvam/proper_106.wav
keshav geyser,ElevenLabs,1468.59,Success,../outputs/propernouns/elevenlabs/proper_107.mp3
keshav geyser,Sarvam,819.35,Success,../outputs/propernouns/sarvam/proper_107.wav
keshav sales,ElevenLabs,1186.75,Success,../outputs/propernouns/elevenlabs/proper_108.mp3
keshav sales,Sarvam,860.78,Success,../outputs/propernouns/sarvam/proper_108.wav
ketan ac,ElevenLabs,1143.76,Success,../outputs/propernouns/elevenlabs/proper_109.mp3
ketan ac,Sarvam,1273.0,Success,../outputs/propernouns/sarvam/proper_109.wav
ketan fan a,ElevenLabs,1340.38,Success,../outputs/propernouns/elevenlabs/proper_110.mp3
ketan fan a,Sarvam,1897.41,Success,../outputs/propernouns/sarvam/proper_110.wav
ketan noida,ElevenLabs,1358.16,Success,../outputs/propernouns/elevenlabs/proper_111.mp3
ketan noida,Sarvam,1488.37,Success,../outputs/propernouns/sarvam/proper_111.wav
ketan room,ElevenLabs,1304.66,Success,../outputs/propernouns/elevenlabs/proper_112.mp3
ketan room,Sarvam,902.71,Success,../outputs/propernouns/sarvam/proper_112.wav
ketul ac,ElevenLabs,1055.8,Success,../outputs/propernouns/elevenlabs/proper_113.mp3
ketul ac,Sarvam,1281.04,Success,../outputs/propernouns/sarvam/proper_113.wav
ketul lloyd,ElevenLabs,1290.99,Success,../outputs/propernouns/elevenlabs/proper_114.mp3
ketul lloyd,Sarvam,812.32,Success,../outputs/propernouns/sarvam/proper_114.wav
keval ac,ElevenLabs,1219.66,Success,../outputs/propernouns/elevenlabs/proper_115.mp3
keval ac,Sarvam,989.18,Success,../outputs/propernouns/sarvam/proper_115.wav
keval room,ElevenLabs,1052.51,Success,../outputs/propernouns/elevenlabs/proper_116.mp3
keval room,Sarvam,997.11,Success,../outputs/propernouns/sarvam/proper_116.wav
kevin,ElevenLabs,1048.23,Success,../outputs/propernouns/elevenlabs/proper_117.mp3
kevin,Sarvam,1343.03,Success,../outputs/propernouns/sarvam/proper_117.wav
kevu room,ElevenLabs,1012.48,Success,../outputs/propernouns/elevenlabs/proper_118.mp3
kevu room,Sarvam,805.34,Success,../outputs/propernouns/sarvam/proper_118.wav
keyvan gyser,ElevenLabs,1462.75,Success,../outputs/propernouns/elevenlabs/proper_119.mp3
keyvan gyser,Sarvam,1073.91,Success,../outputs/propernouns/sarvam/proper_119.wav
kgf,ElevenLabs,1042.75,Success,../outputs/propernouns/elevenlabs/proper_120.mp3
kgf,Sarvam,781.38,Success,../outputs/propernouns/sarvam/proper_120.wav
khader,ElevenLabs,945.73,Success,../outputs/propernouns/elevenlabs/proper_121.mp3
khader,Sarvam,764.89,Success,../outputs/propernouns/sarvam/proper_121.wav
khali,ElevenLabs,1330.32,Success,../outputs/propernouns/elevenlabs/proper_122.mp3
khali,Sarvam,870.28,Success,../outputs/propernouns/sarvam/proper_122.wav
khalid,ElevenLabs,1246.2,Success,../outputs/propernouns/elevenlabs/proper_123.mp3
khalid,Sarvam,721.66,Success,../outputs/propernouns/sarvam/proper_123.wav
khalid zyan,ElevenLabs,1160.65,Success,../outputs/propernouns/elevenlabs/proper_124.mp3
khalid zyan,Sarvam,1014.59,Success,../outputs/propernouns/sarvam/proper_124.wav
khan biryani shop,ElevenLabs,1249.7,Success,../outputs/propernouns/elevenlabs/proper_125.mp3
khan biryani shop,Sarvam,1135.73,Success,../outputs/propernouns/sarvam/proper_125.wav
khasnavis,ElevenLabs,1190.23,Success,../outputs/propernouns/elevenlabs/proper_126.mp3
khasnavis,Sarvam,1277.71,Success,../outputs/propernouns/sarvam/proper_126.wav
khatun amma,ElevenLabs,1187.21,Success,../outputs/propernouns/elevenlabs/proper_127.mp3
khatun amma,Sarvam,1139.27,Success,../outputs/propernouns/sarvam/proper_127.wav
kher washing machine,ElevenLabs,1172.71,Success,../outputs/propernouns/elevenlabs/proper_128.mp3
kher washing machine,Sarvam,1001.22,Success,../outputs/propernouns/sarvam/proper_128.wav
kheta room,ElevenLabs,1120.29,Success,../outputs/propernouns/elevenlabs/proper_129.mp3
kheta room,Sarvam,904.91,Success,../outputs/propernouns/sarvam/proper_129.wav
khushi,ElevenLabs,1172.52,Success,../outputs/propernouns/elevenlabs/proper_130.mp3
khushi,Sarvam,691.29,Success,../outputs/propernouns/sarvam/proper_130.wav
khushi ac,ElevenLabs,1090.51,Success,../outputs/propernouns/elevenlabs/proper_131.mp3
khushi ac,Sarvam,937.29,Success,../outputs/propernouns/sarvam/proper_131.wav
khushi lloyd,ElevenLabs,1231.85,Success,../outputs/propernouns/elevenlabs/proper_132.mp3
khushi lloyd,Sarvam,976.2,Success,../outputs/propernouns/sarvam/proper_132.wav
khushi room,ElevenLabs,1310.86,Success,../outputs/propernouns/elevenlabs/proper_133.mp3
khushi room,Sarvam,924.96,Success,../outputs/propernouns/sarvam/proper_133.wav
khushi bedroom,ElevenLabs,1147.49,Success,../outputs/propernouns/elevenlabs/proper_134.mp3
khushi bedroom,Sarvam,897.8,Success,../outputs/propernouns/sarvam/proper_134.wav
khushi dressing,ElevenLabs,1199.74,Success,../outputs/propernouns/elevenlabs/proper_135.mp3
khushi dressing,Sarvam,865.79,Success,../outputs/propernouns/sarvam/proper_135.wav
khushi fan,ElevenLabs,1204.8,Success,../outputs/propernouns/elevenlabs/proper_136.mp3
khushi fan,Sarvam,911.91,Success,../outputs/propernouns/sarvam/proper_136.wav
khushi room,ElevenLabs,1207.8,Success,../outputs/propernouns/elevenlabs/proper_137.mp3
khushi room,Sarvam,1010.01,Success,../outputs/propernouns/sarvam/proper_137.wav
khushu ac,ElevenLabs,1178.79,Success,../outputs/propernouns/elevenlabs/proper_138.mp3
khushu ac,Sarvam,1413.83,Success,../outputs/propernouns/sarvam/proper_138.wav
kiara,ElevenLabs,1153.19,Success,../outputs/propernouns/elevenlabs/proper_139.mp3
kiara,Sarvam,824.94,Success,../outputs/propernouns/sarvam/proper_139.wav
kiara washing machine,ElevenLabs,1264.28,Success,../outputs/propernouns/elevenlabs/proper_140.mp3
kiara washing machine,Sarvam,1108.37,Success,../outputs/propernouns/sarvam/proper_140.wav
kichen ac,ElevenLabs,1247.78,Success,../outputs/propernouns/elevenlabs/proper_141.mp3
kichen ac,Sarvam,1027.77,Success,../outputs/propernouns/sarvam/proper_141.wav
kichen switch two,ElevenLabs,1146.48,Success,../outputs/propernouns/elevenlabs/proper_142.mp3
kichen switch two,Sarvam,1012.07,Success,../outputs/propernouns/sarvam/proper_142.wav
kichuac,ElevenLabs,923.12,Success,../outputs/propernouns/elevenlabs/proper_143.mp3
kichuac,Sarvam,1144.37,Success,../outputs/propernouns/sarvam/proper_143.wav
kid bedroom,ElevenLabs,1228.25,Success,../outputs/propernouns/elevenlabs/proper_144.mp3
kid bedroom,Sarvam,761.54,Success,../outputs/propernouns/sarvam/proper_144.wav
kid light,ElevenLabs,1268.6,Success,../outputs/propernouns/elevenlabs/proper_145.mp3
kid light,Sarvam,748.88,Success,../outputs/propernouns/sarvam/proper_145.wav
kid room fan,ElevenLabs,1362.08,Success,../outputs/propernouns/elevenlabs/proper_146.mp3
kid room fan,Sarvam,1033.29,Success,../outputs/propernouns/sarvam/proper_146.wav
kid bedroom,ElevenLabs,1030.41,Success,../outputs/propernouns/elevenlabs/proper_147.mp3
kid bedroom,Sarvam,896.7,Success,../outputs/propernouns/sarvam/proper_147.wav
kid fan,ElevenLabs,1008.64,Success,../outputs/propernouns/elevenlabs/proper_148.mp3
kid fan,Sarvam,918.95,Success,../outputs/propernouns/sarvam/proper_148.wav
kid laser two,ElevenLabs,1451.65,Success,../outputs/propernouns/elevenlabs/proper_149.mp3
kid laser two,Sarvam,1117.24,Success,../outputs/propernouns/sarvam/proper_149.wav
kids,ElevenLabs,1330.76,Success,../outputs/propernouns/elevenlabs/proper_150.mp3
kids,Sarvam,835.1,Success,../outputs/propernouns/sarvam/proper_150.wav
kids ac,ElevenLabs,1090.27,Success,../outputs/propernouns/elevenlabs/proper_151.mp3
kids ac,Sarvam,1213.49,Success,../outputs/propernouns/sarvam/proper_151.wav
kids bead room fan,ElevenLabs,1395.18,Success,../outputs/propernouns/elevenlabs/proper_152.mp3
kids bead room fan,Sarvam,1328.18,Success,../outputs/propernouns/sarvam/proper_152.wav
kids bed back light,ElevenLabs,1361.81,Success,../outputs/propernouns/elevenlabs/proper_153.mp3
kids bed back light,Sarvam,956.08,Success,../outputs/propernouns/sarvam/proper_153.wav
kids bed centre ligh,ElevenLabs,1291.56,Success,../outputs/propernouns/elevenlabs/proper_154.mp3
